$n_0$,$n_1$,$n_2$,$n_3$,$n_4$,N,k,params_label
17852.0,1297.0,77687.0,1479.0,2.0,99062.0,4,s6/mu10minus5
403.0,0.0,67800.0,10186.0,2.0,78665.0,4,s6/mu10minus5
58381.0,2606.0,40624.0,1222.0,2.0,102835.0,4,s6/mu10minus5
2826.0,0.0,57637.0,53213.0,2.0,113678.0,4,s6/mu10minus5
80933.0,3164.0,15461.0,3436.0,2.0,103392.0,4,s6/mu10minus5
14631.0,739.0,56099.0,20558.0,3.0,92035.0,4,s6/mu10minus5
8087.0,165.0,79384.0,10218.0,2.0,97856.0,4,s6/mu10minus5
3023.0,72.0,54.0,94004.0,2.0,97155.0,4,s6/mu10minus5
586.0,0.0,24741.0,59868.0,0.0,85195.0,4,s6/mu10minus5
46836.0,1321.0,3493.0,31775.0,2.0,83627.0,4,s6/mu10minus5
6617.0,1077.0,76861.0,2956.0,3.0,88936.0,4,s6/mu10minus5
47792.0,0.0,47945.0,10388.0,2.0,106650.0,4,s6/mu10minus5
15485.0,0.0,79819.0,16868.0,2.0,112180.0,4,s6/mu10minus5
7693.0,205.0,85178.0,653.0,2.0,93744.0,4,s6/mu10minus5
33703.0,238.0,67998.0,5052.0,2.0,109942.0,4,s6/mu10minus5
85476.0,0.0,9447.0,1303.0,2.0,96235.0,4,s6/mu10minus5
3260.0,0.0,87346.0,1749.0,2.0,92357.0,4,s6/mu10minus5
1531.0,0.0,73386.0,29462.0,3.0,104540.0,4,s6/mu10minus5
39875.0,211.0,38474.0,24307.0,2.0,103297.0,4,s6/mu10minus5
11881.0,0.0,34339.0,52316.0,0.0,98818.0,4,s6/mu10minus5
288.0,23.0,34646.0,61993.0,3.0,96999.0,4,s6/mu10minus5
13608.0,1596.0,29637.0,47222.0,2.0,92249.0,4,s6/mu10minus5
21293.0,0.0,75105.0,1849.0,3.0,98253.0,4,s6/mu10minus5
29140.0,975.0,14328.0,56149.0,2.0,100946.0,4,s6/mu10minus5
11528.0,343.0,88163.0,7150.0,2.0,107253.0,4,s6/mu10minus5
12927.0,236.0,39447.0,43474.0,2.0,96093.0,4,s6/mu10minus5
38000.0,1092.0,50435.0,5817.0,2.0,101315.0,4,s6/mu10minus5
25538.0,1116.0,68480.0,385.0,2.0,95521.0,4,s6/mu10minus5
83797.0,0.0,14575.0,122.0,0.0,98880.0,4,s6/mu10minus5
4306.0,36.0,74956.0,4352.0,3.0,83656.0,4,s6/mu10minus5
14918.0,0.0,72705.0,1875.0,3.0,89504.0,4,s6/mu10minus5
7730.0,211.0,87588.0,4423.0,2.0,99957.0,4,s6/mu10minus5
60543.0,8193.0,2573.0,55174.0,2.0,126525.0,4,s6/mu10minus5
76792.0,8166.0,0.0,8100.0,4.0,96903.0,4,s6/mu10minus5
67680.0,2379.0,31852.0,135.0,2.0,102550.0,4,s6/mu10minus5
55436.0,11354.0,27603.0,2345.0,0.0,96743.0,4,s6/mu10minus5
55126.0,2028.0,51951.0,1018.0,2.0,110707.0,4,s6/mu10minus5
33568.0,1051.0,63214.0,6917.0,2.0,104760.0,4,s6/mu10minus5
10033.0,0.0,90368.0,12.0,2.0,101163.0,4,s6/mu10minus5
1165.0,0.0,81746.0,10862.0,2.0,94228.0,4,s6/mu10minus5
73443.0,2621.0,4229.0,29183.0,2.0,109505.0,4,s6/mu10minus5
12053.0,1553.0,97740.0,222.0,2.0,111570.0,4,s6/mu10minus5
41605.0,1732.0,69681.0,78.0,4.0,113100.0,4,s6/mu10minus5
33564.0,5168.0,52626.0,9476.0,2.0,103462.0,4,s6/mu10minus5
28277.0,85.0,49482.0,21763.0,4.0,100481.0,4,s6/mu10minus5
859.0,0.0,84848.0,14163.0,2.0,99991.0,4,s6/mu10minus5
70878.0,5279.0,12014.0,13362.0,2.0,101535.0,4,s6/mu10minus5
6734.0,0.0,115024.0,959.0,2.0,122755.0,4,s6/mu10minus5
88.0,0.0,59279.0,48786.0,3.0,109299.0,4,s6/mu10minus5
1710.0,0.0,51564.0,40946.0,2.0,94312.0,4,s6/mu10minus5
63294.0,4333.0,11890.0,4624.0,2.0,106528.0,4,s6/mu10minus5
10168.0,282.0,51077.0,41732.0,2.0,103282.0,4,s6/mu10minus5
554.0,0.0,90058.0,17773.0,2.0,109089.0,4,s6/mu10minus5
17660.0,0.0,79059.0,2356.0,0.0,99704.0,4,s6/mu10minus5
